%META:TOPICINFO{author="GarryJolleyRogers" date="1259118880" format="1.1" version="1.1015"}%
%META:TOPICPARENT{name="BDI.SDD_"}%
---++ Statistics for <nop>%WEB% Web

| *Month:* | *Topic <br /> views:* | *Topic <br /> saves:* | *File <br /> uploads:* | *Most popular <br /> topic views:* | *Top contributors for <br /> topic save and uploads:* |
| <!--statDate--> | <!--statViews--> | <!--statSaves--> | <!--statUploads--> | <!--statTopViews--> | <!--statTopContributors--> |
| Nov 2009 |  192 |  3 |  0 | &nbsp;&nbsp;6 [[WebSearch]]<br />&nbsp;&nbsp;3 [[WebTopicList]]<br />&nbsp;&nbsp;3 [[WebPreferences]]<br />&nbsp;&nbsp;3 [[WebStatistics]]<br />&nbsp;&nbsp;3 [[WebChanges]]<br />&nbsp;&nbsp;3 [[WebTopicCreator]]<br />&nbsp;&nbsp;2 [[CurrentSchemaVersion]]<br />&nbsp;&nbsp;2 [[RealWorldExamples_SDD1dot1]]<br />&nbsp;&nbsp;2 [[Version101]]<br />&nbsp;&nbsp;2 [[XercesValidator]]<br />&nbsp;&nbsp;2 [[UMassBostonElectronicFieldGuideProject]] | &nbsp;&nbsp;3 Main.LeeBelbin |
| Oct 2009 |  3946 |  6 |  0 | 631 [[BDI.SDD_]]<br />127 [[RealWorldExamples_SDD1dot1]]<br />&nbsp;86 [[Version1dot1]]<br />&nbsp;69 [[MailingList]]<br />&nbsp;60 [[SchemaDiscussion]]<br />&nbsp;60 [[Charter]]<br />&nbsp;59 [[ServicesUsingBDI.SDD]]<br />&nbsp;57 [[WebChanges]]<br />&nbsp;56 [[WebStatistics]]<br />&nbsp;53 [[PrimerHome]]<br />&nbsp;48 [[BDIWorkingGroupSession2009]] | &nbsp;&nbsp;3 Main.GregorHagedorn<br />&nbsp;&nbsp;2 Main.PierreBonnet<br />&nbsp;&nbsp;1 Main.LeeBelbin |
| Sep 2009 |  3201 |  7 |  0 | 481 [[BDI.SDD_]]<br />&nbsp;93 [[RealWorldExamples_SDD1dot1]]<br />&nbsp;59 [[MailingList]]<br />&nbsp;57 [[ServicesUsingBDI.SDD]]<br />&nbsp;55 [[WebStatistics]]<br />&nbsp;54 [[Version1dot1]]<br />&nbsp;50 [[BDIWorkingGroupSession2009]]<br />&nbsp;48 [[WebChanges]]<br />&nbsp;43 [[DiscussionFor1dot1]]<br />&nbsp;42 [[RDFandBDI.SDD]]<br />&nbsp;35 [[SchemaTaskGroupCharter]] | &nbsp;&nbsp;5 Main.GregorHagedorn<br />&nbsp;&nbsp;2 Main.PierreBonnet |
| Aug 2009 |  2449 |  0 |  0 | 413 [[BDI.SDD_]]<br />&nbsp;63 [[RealWorldExamples_SDD1dot1]]<br />&nbsp;59 [[MailingList]]<br />&nbsp;50 [[Version1dot1]]<br />&nbsp;39 [[WebStatistics]]<br />&nbsp;33 [[ServicesUsingBDI.SDD]]<br />&nbsp;32 [[PrimerHome]]<br />&nbsp;32 [[WebNotify]]<br />&nbsp;31 [[RDFandBDI.SDD]]<br />&nbsp;28 [[WebChanges]]<br />&nbsp;28 [[Charter]] |  |
| Jul 2009 |  2869 |  0 |  0 | 376 [[BDI.SDD_]]<br />&nbsp;81 [[WebStatistics]]<br />&nbsp;78 [[RealWorldExamples_SDD1dot1]]<br />&nbsp;56 [[MailingList]]<br />&nbsp;52 [[Version1dot1]]<br />&nbsp;46 [[ServicesUsingBDI.SDD]]<br />&nbsp;35 [[CurrentSchemaVersion]]<br />&nbsp;35 [[WebSearchAdvanced]]<br />&nbsp;34 [[WebTopicList]]<br />&nbsp;34 [[WebChanges]]<br />&nbsp;33 [[WebPreferences]] |  |
| Jun 2009 |  2828 |  0 |  0 | 399 [[BDI.SDD_]]<br />104 [[RealWorldExamples_SDD1dot1]]<br />&nbsp;57 [[WebStatistics]]<br />&nbsp;51 [[MailingList]]<br />&nbsp;51 [[SDD2006BerlinSummary]]<br />&nbsp;47 [[Version1dot1]]<br />&nbsp;41 [[ServicesUsingBDI.SDD]]<br />&nbsp;38 [[WebChanges]]<br />&nbsp;37 [[RDFandBDI.SDD]]<br />&nbsp;32 [[WebNotify]]<br />&nbsp;28 [[PrimerHome]] |  |
| May 2009 |  2421 |  0 |  0 | 367 [[BDI.SDD_]]<br />119 [[SubversionRepository]]<br />114 [[RealWorldExamples_SDD1dot1]]<br />&nbsp;61 [[WebStatistics]]<br />&nbsp;48 [[Version1dot1]]<br />&nbsp;40 [[RDFandBDI.SDD]]<br />&nbsp;38 [[WebNotify]]<br />&nbsp;37 [[ServicesUsingBDI.SDD]]<br />&nbsp;34 [[PrimerHome]]<br />&nbsp;32 [[CurrentSchemaVersion]]<br />&nbsp;31 [[MailingList]] |  |
| Apr 2009 |  2552 |  0 |  0 | 348 [[BDI.SDD_]]<br />&nbsp;76 [[RealWorldExamples_SDD1dot1]]<br />&nbsp;63 [[WebStatistics]]<br />&nbsp;51 [[Version1dot1]]<br />&nbsp;50 [[MailingList]]<br />&nbsp;40 [[PrimerHome]]<br />&nbsp;40 [[WebNotify]]<br />&nbsp;39 [[SubversionRepository]]<br />&nbsp;38 [[SchemaDiscussion]]<br />&nbsp;38 [[WebChanges]]<br />&nbsp;33 [[Charter]] |  |
| Mar 2009 |  2825 |  0 |  0 | 429 [[BDI.SDD_]]<br />104 [[RealWorldExamples_SDD1dot1]]<br />&nbsp;96 [[SubversionRepository]]<br />&nbsp;71 [[WebStatistics]]<br />&nbsp;67 [[Version1dot1]]<br />&nbsp;57 [[MailingList]]<br />&nbsp;54 [[ServicesUsingBDI.SDD]]<br />&nbsp;39 [[PrimerHome]]<br />&nbsp;38 [[Charter]]<br />&nbsp;32 [[DELTAandBDI.SDD]]<br />&nbsp;31 [[CurrentSchemaVersion]] |  |
| Feb 2009 |  2389 |  0 |  0 | 434 [[BDI.SDD_]]<br />&nbsp;80 [[Version1dot1]]<br />&nbsp;77 [[SubversionRepository]]<br />&nbsp;76 [[RealWorldExamples_SDD1dot1]]<br />&nbsp;46 [[MailingList]]<br />&nbsp;44 [[WebStatistics]]<br />&nbsp;38 [[CurrentSchemaVersion]]<br />&nbsp;38 [[Charter]]<br />&nbsp;37 [[ServicesUsingBDI.SDD]]<br />&nbsp;33 [[DiscussionFor1dot1]]<br />&nbsp;31 [[ToolsForBDI.SDD]] |  |
| Jan 2009 |  1879 |  0 |  0 | 391 [[BDI.SDD_]]<br />&nbsp;81 [[SubversionRepository]]<br />&nbsp;60 [[MailingList]]<br />&nbsp;57 [[Version1dot1]]<br />&nbsp;47 [[RealWorldExamples_SDD1dot1]]<br />&nbsp;46 [[WebStatistics]]<br />&nbsp;33 [[ServicesUsingBDI.SDD]]<br />&nbsp;27 [[Charter]]<br />&nbsp;25 [[RDFandBDI.SDD]]<br />&nbsp;25 [[SchemaTaskGroupCharter]]<br />&nbsp;24 [[CurrentSchemaVersion]] |  |
| Dec 2008 |  3440 |  0 |  0 | 429 [[BDI.SDD_]]<br />101 [[RealWorldExamples_SDD1dot1]]<br />&nbsp;87 [[Version1dot1]]<br />&nbsp;83 [[SubversionRepository]]<br />&nbsp;66 [[WebStatistics]]<br />&nbsp;57 [[MailingList]]<br />&nbsp;54 [[Charter]]<br />&nbsp;50 [[InterestGroupCharter]]<br />&nbsp;49 [[PrimerHome]]<br />&nbsp;48 [[WebPreferences]]<br />&nbsp;46 [[RDFandBDI.SDD]] |  |
| Nov 2008 |  2572 |  5 |  1 | 367 [[BDI.SDD_]]<br />&nbsp;99 [[RealWorldExamples_SDD1dot1]]<br />&nbsp;86 [[SubversionRepository]]<br />&nbsp;75 [[Version1dot1]]<br />&nbsp;57 [[MailingList]]<br />&nbsp;48 [[ServicesUsingBDI.SDD]]<br />&nbsp;48 [[WebStatistics]]<br />&nbsp;40 [[WebChanges]]<br />&nbsp;39 [[InterestGroupCharter]]<br />&nbsp;38 [[DiscussionFor1dot1beta10]]<br />&nbsp;36 [[RDFandBDI.SDD]] | &nbsp;&nbsp;6 Main.GregorHagedorn |
| Oct 2008 |  3133 |  0 |  0 | 431 [[BDI.SDD_]]<br />102 [[RealWorldExamples_SDD1dot1]]<br />&nbsp;70 [[Version1dot1]]<br />&nbsp;61 [[MailingList]]<br />&nbsp;55 [[WebStatistics]]<br />&nbsp;51 [[ServicesUsingBDI.SDD]]<br />&nbsp;47 [[HistoryAndContext]]<br />&nbsp;45 [[DiscussionFor1dot1]]<br />&nbsp;43 [[InterestGroupCharter]]<br />&nbsp;43 [[SchemaDiscussion]]<br />&nbsp;42 [[SubversionRepository]] |  |
| Sep 2008 |  2373 |  0 |  0 | 364 [[BDI.SDD_]]<br />118 [[RealWorldExamples_SDD1dot1]]<br />&nbsp;57 [[SubversionRepository]]<br />&nbsp;55 [[MailingList]]<br />&nbsp;44 [[ServicesUsingBDI.SDD]]<br />&nbsp;41 [[WebStatistics]]<br />&nbsp;40 [[Version1dot1]]<br />&nbsp;34 [[DELTAandBDI.SDD]]<br />&nbsp;32 [[HistoryAndContext]]<br />&nbsp;32 [[PrimerHome]]<br />&nbsp;32 [[Charter]] |  |
| Aug 2008 |  2779 |  0 |  0 | 556 [[BDI.SDD_]]<br />106 [[RealWorldExamples_SDD1dot1]]<br />&nbsp;96 [[SubversionRepository]]<br />&nbsp;82 [[Version1dot1]]<br />&nbsp;77 [[MailingList]]<br />&nbsp;51 [[SchemaDiscussion]]<br />&nbsp;48 [[WebStatistics]]<br />&nbsp;47 [[CurrentSchemaVersion]]<br />&nbsp;43 [[ServicesUsingBDI.SDD]]<br />&nbsp;41 [[PrimerHome]]<br />&nbsp;40 [[HistoryAndContext]] |  |
| Jul 2008 |  2995 |  2 |  0 | 537 [[BDI.SDD_]]<br />257 [[SubversionRepository]]<br />&nbsp;87 [[MailingList]]<br />&nbsp;85 [[RealWorldExamples_SDD1dot1]]<br />&nbsp;72 [[Version1dot1]]<br />&nbsp;52 [[WebStatistics]]<br />&nbsp;46 [[WebChanges]]<br />&nbsp;46 [[WebSearchAdvanced]]<br />&nbsp;45 [[Charter]]<br />&nbsp;43 [[SchemaDiscussion]]<br />&nbsp;43 [[WebNotify]] | &nbsp;&nbsp;2 Main.GregorHagedorn |
| Jun 2008 |  3019 |  2 |  2 | 534 [[BDI.SDD_]]<br />236 [[SubversionRepository]]<br />101 [[RealWorldExamples_SDD1dot1]]<br />&nbsp;78 [[MailingList]]<br />&nbsp;58 [[Version1dot1]]<br />&nbsp;52 [[WebStatistics]]<br />&nbsp;44 [[ServicesUsingBDI.SDD]]<br />&nbsp;41 [[RDFandBDI.SDD]]<br />&nbsp;40 [[Charter]]<br />&nbsp;39 [[HistoryAndContext]]<br />&nbsp;38 [[WebChanges]] | &nbsp;&nbsp;4 Main.GregorHagedorn |
| May 2008 |  2516 |  1 |  1 | 506 [[BDI.SDD_]]<br />110 [[RealWorldExamples_SDD1dot1]]<br />&nbsp;65 [[SubversionRepository]]<br />&nbsp;65 [[MailingList]]<br />&nbsp;44 [[Version1dot1]]<br />&nbsp;41 [[WebStatistics]]<br />&nbsp;40 [[WebSearchAdvanced]]<br />&nbsp;37 [[CurrentSchemaVersion]]<br />&nbsp;37 [[ServicesUsingBDI.SDD]]<br />&nbsp;33 [[DiscussionFor1dot1]]<br />&nbsp;32 [[Charter]] | &nbsp;&nbsp;2 Main.GregorHagedorn |
